[ 0.88047567]  [ 6.52180595]
[ 1.86044712]  [ 9.1472036]
[ 3.07970859]  [ 13.44452355]
[ 4.18429345]  [ 16.72203906]
[ 5.00375303]  [ 19.0207823]
[ 6.2313431]  [ 22.79737768]
[ 7.24396228]  [ 26.10378625]
[ 7.95600859]  [ 28.13073239]
[ 9.15135474]  [ 31.16080712]
[ 9.73349041]  [ 32.97387201]
[ 10.96904203]  [ 36.67967619]
[ 12.12607106]  [ 40.40256173]
[ 12.78687542]  [ 42.22869252]
[ 13.98350418]  [ 45.99630641]
[ 15.04081977]  [ 49.06226384]
[ 16.11503125]  [ 52.35999791]
[ 17.18107878]  [ 55.42861465]
[ 18.12320624]  [ 58.34320842]
[ 18.94276046]  [ 61.070857]
[ 20.03591266]  [ 64.09090492]
[ 20.95911299]  [ 66.74294659]
[ 21.71990965]  [ 69.30573381]
[ 23.14895787]  [ 73.75320058]
[ 24.27783669]  [ 76.82545854]
[ 25.24755695]  [ 79.92437546]
[ 26.00958898]  [ 81.84759059]
[ 27.26578701]  [ 85.81474573]
[ 28.24706824]  [ 88.80495883]
[ 28.82384102]  [ 90.68216444]
[ 30.19424016]  [ 94.54683948]
[ 30.76570212]  [ 95.83712593]
[ 31.63189048]  [ 98.85397569]
[ 32.93259295]  [ 102.84620834]
[ 33.85195993]  [ 105.55511155]
[ 35.10417549]  [ 109.00910024]
[ 35.97765829]  [ 111.62143903]
[ 36.87214058]  [ 114.7773185]
[ 38.01705211]  [ 117.67429571]
[ 38.96435596]  [ 120.73179449]
[ 40.48255717]  [ 125.60785828]
[ 40.98719858]  [ 127.10855106]
[ 42.19628684]  [ 130.42809981]
[ 42.73500787]  [ 132.05873809]
[ 44.21139528]  [ 136.77745218]
[ 44.92922475]  [ 138.75260097]
[ 46.25922609]  [ 142.66627828]
[ 46.7808655]  [ 144.2201837]
[ 47.92000601]  [ 147.88929062]
[ 49.0311077]  [ 151.34172954]
[ 49.70525601]  [ 153.39933652]
[ 50.59780886]  [ 155.74228308]
[ 52.28753827]  [ 160.86580131]
[ 53.6004908]  [ 165.09962889]
[ 54.1754725]  [ 166.37539028]
[ 55.36729934]  [ 170.14724959]
[ 55.91839497]  [ 171.54893851]
[ 56.91987195]  [ 174.6833887]
[ 58.08228365]  [ 178.51751932]
[ 59.05691119]  [ 180.95823472]
[ 60.16764137]  [ 184.74215908]
[ 61.00490573]  [ 186.97551089]
[ 61.95599558]  [ 189.92243424]
[ 63.18493112]  [ 193.62708659]
[ 63.95648529]  [ 196.05140463]
[ 65.26552975]  [ 199.57763913]
[ 65.9788745]  [ 201.85572953]
[ 66.72771731]  [ 204.32220432]
[ 67.75097571]  [ 207.60439375]
[ 69.15130999]  [ 211.3026332]
[ 69.84260651]  [ 213.53012262]
[ 70.85907267]  [ 216.63056204]
[ 71.73703818]  [ 219.12788734]
[ 72.94864392]  [ 222.69834427]
[ 74.30551576]  [ 226.7662447]
[ 74.91447927]  [ 229.04846477]
[ 75.59570944]  [ 231.11264339]
[ 76.95354075]  [ 234.94044588]
[ 78.23325987]  [ 238.66906855]
[ 79.12694113]  [ 241.29425683]
[ 80.29997543]  [ 245.13146654]
[ 80.98617697]  [ 246.97015607]
[ 81.93442544]  [ 249.92618868]
[ 82.91094786]  [ 252.5733237]
[ 84.1327173]  [ 256.36762803]
[ 85.17709499]  [ 259.43516079]
[ 86.08152119]  [ 262.41031018]
[ 87.04036876]  [ 265.39781958]
[ 88.55417785]  [ 269.44582301]
[ 89.18544059]  [ 271.41310993]
[ 89.83955405]  [ 273.48841275]
[ 91.30950631]  [ 277.8639882]
[ 92.02642585]  [ 279.77328786]
[ 93.01663545]  [ 282.84953794]
[ 93.91934374]  [ 285.81689136]
[ 95.3608175]  [ 290.31677979]
[ 96.11875889]  [ 292.19169939]
[ 97.04214573]  [ 295.24054836]
[ 98.28341373]  [ 298.59118026]
[ 98.94252167]  [ 300.895946]
[ 100.21164906]  [ 304.41717443]
[ 100.93064729]  [ 306.88270436]
[ 102.4837391]  [ 311.36885112]
[ 103.4543443]  [ 314.19220814]
[ 103.92867773]  [ 315.85221541]
[ 104.76657274]  [ 318.48340187]
[ 106.16835528]  [ 322.51429878]
[ 107.00420621]  [ 325.00829336]
[ 108.21778873]  [ 328.75600344]
[ 108.95159075]  [ 330.42316511]
[ 109.90973272]  [ 333.18359356]
[ 111.06917905]  [ 337.2568213]
[ 112.32440134]  [ 341.08277408]
[ 113.17857584]  [ 343.67873135]
[ 114.09770812]  [ 346.24806914]
[ 114.9100153]  [ 348.67015668]
[ 115.9139831]  [ 351.75103249]
[ 117.01966993]  [ 354.80151469]
[ 118.00031066]  [ 357.87760353]
[ 119.00949591]  [ 361.2427723]
[ 120.08009165]  [ 364.25484265]
